gamma1,lambda1,delta,epsilon,NRow,NCol,W1
0.0078367710897327,0.010762734561183,27.9932871825419,86.5546889720724,0.0020983841949076,0.0014295224568642,4.8057642748767796e-11
0.0043874066961899,0.0227441120458892,48.4474195991159,40.4082766277506,0.0008458291542271,0.0013047285657013,5.74057637941251e-08
0.0011265257510393,0.045988986027673,25.1821250841044,34.7676843560808,0.000909542056649,0.0010640694927106,1.71063022759112e-06
0.0021877449055092,0.019120601890261,77.6525131769219,10.5409875805405,0.000429536318515,0.0006042234402506,3.42194662250467e-06
0.0003871973899846,0.0169974224075925,43.151575746592,82.1720771755748,0.000562860368893,0.0004437168659159,2.34506963965814e-06
0.008571334136798,0.051419583104094,94.7636015715896,54.7667456264714,0.0006284416006581,0.0006274102506674,1.44143809429011e-07
0.0001844314791925,0.0421282013047768,11.5455286819646,58.4058557191709,0.0004423178894756,0.001509273227746,3.38092882853083e-06
0.005745082960983,0.0389590764339825,84.6150317900921,88.3821272159192,0.0022508740005806,0.001037597754215,5.35766079540679e-07
0.0001776247466726,0.0457549374852335,66.3931877459748,75.0559211799803,0.0002471856615556,0.0016206240356417,6.02727614680259e-06
0.0006374172228282,0.0111571859976347,58.4871863641497,70.1277338507361,0.0002323069708122,0.0014007839127158,1.44663988122163e-06
0.0037655263111333,0.022324657692719,68.5456871842054,26.0945013073338,0.0012856133901848,0.0020808896281859,2.31601184896131e-08
0.0109560072202123,0.0282709615774035,75.3966579075863,59.5445819387139,0.0003292942844056,0.0006278276475908,1.6813857401719e-07
8.75683790976402e-05,0.0174142589095181,18.5039707528521,96.3887570819174,0.000239252661657,0.0012084937814677,2.26776824004087e-06
0.0306992607229393,0.0518853813754689,88.9816540876894,63.6419504787669,9.09544479967296e-05,0.0004965157133805,5.02193061471135e-07
0.0106195970982536,0.0718095643538187,11.2925929551387,82.7713637877149,0.0007766852565387,0.0002912893793257,5.49721148485387e-08
0.0014432610841801,0.0191208720393752,36.4872364161614,98.60791193771,0.001329222932406,0.0015016888267216,1.84465465031223e-08
0.0010151863509181,0.0538332785171529,26.1923390653816,89.7332002902944,0.000630053623941,0.001842053441165,5.27312628285094e-07
0.0010947658777493,0.0137329200759452,93.3664841378155,29.24533028018,0.0007501872586176,0.0016124018313539,2.72422343094366e-06
0.0004149716430781,0.0686630011385674,16.1362393144331,13.116705518122,0.0017763419009191,0.0012495087949983,4.46865649886478e-06
0.0016768567772725,0.0137594703192786,62.2983904820642,50.6011412262857,0.0008809342495169,0.0007234491619971,5.56468529620042e-07
0.0017032747050338,0.0387444397565877,67.3436100272702,11.2415101100285,0.0002823445198189,0.0003546063668665,4.64868227928341e-06
0.0141857770272156,0.0232357556350043,68.6142338288448,52.6339674219618,0.0006739254471978,0.00016378603416,6.5944154701317e-08
0.012118929386879,0.0640854657060788,87.8159811280198,95.6077381655915,0.0009214875430091,0.0007122624367723,5.569962359409561e-09
0.0042847392210601,0.0318992730286008,15.0357276466319,32.405705083489,0.001072954101546,0.0013161432079245,7.6944828965372e-08
0.0006835938585175,0.0308741022916923,83.5169656396465,44.7780520498975,4.10044549268458e-05,0.0006831783119975,3.97863332677207e-06
0.0136054020232183,0.0753440087239849,57.6030219695586,48.8290038783449,0.0003466172990615,0.0009786852368733,1.73479426750863e-07
0.0019835665262774,0.0225497542341094,72.4915504560198,84.7797836274136,0.002070525354246,0.0004275670004026,2.0303939604172e-08
0.0005638340703151,0.0281477416699339,29.1164406653651,84.2182137669552,0.0003521106231938,0.0005247640856968,2.69959818443902e-06
0.0328076173045708,0.0919454593524076,58.8951951624866,50.7698751071001,0.0006455013511742,0.0008058106124587,7.120413209177351e-09
0.0212225926787142,0.0110229489962271,73.2268244938117,44.250415295291,0.0006281218673531,0.0019622539157474,1.34993292154269e-08
0.00223583130704,0.0939633158599158,96.0791101534422,93.328168855657,0.001914266496865,0.0013767068923376,1.31018658640892e-08
0.0036846416959969,0.0154599057916976,50.0087946586124,76.675926470605,0.0006116126985939,0.0001231304974212,5.05185845303431e-07
0.002884723004863,0.0464643964277862,17.685804773138,76.3869766080543,0.0024505165525751,0.0004363199140945,1.08496208190967e-08
0.0002099891630207,0.0385868755769803,15.1606132787132,95.2224399110825,0.0001249363950447,0.0012634760200164,3.30687125441241e-06
0.0004005982014937,0.0473273749231299,66.6505437489531,55.9089734889143,0.001199753579463,0.0004897787064165,5.72943638338096e-06
0.0012934214229349,0.0229626522687596,81.6561159848612,81.2691266407076,0.0006268414042495,0.0005206349792012,1.7212900223253e-06
0.0002457165930118,0.0417136724962987,72.2072199572329,50.6956152096153,0.0025134222468374,0.0005244221355399,2.28634163619263e-06
0.0170567538627822,0.0647367488839452,41.0777075993649,86.4278836794085,0.0005274399386398,0.0013638324073168,2.64828968481019e-09
0.0001919830438491,0.0104533977950827,95.2135000445435,45.1387746516248,0.0014963017491071,0.0006271329320908,2.66216028708151e-06
0.0002380868160738,0.0121303549278694,56.817128639033,76.4538860355658,0.0009873613280738,0.000570401883137,2.34898410251881e-06
0.0001625901178243,0.0943629842709112,95.8431722678134,97.8794701616667,0.0024175296426973,0.0009057605286564,1.97875410326969e-08
0.0002409699556836,0.0448073781479019,16.623607222738,57.0969152393599,0.0002977647710075,0.0002376754000922,3.76608526454686e-06
0.0010140656144542,0.0170309085194875,28.6328753265767,48.6923771538797,0.0011581011699767,0.0005974431532732,7.00935808058299e-07
