gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals
-0.6036766556600057,0.6746221117142455,0.036674776416668324,0.9437423617180304,0.9428034410251918,-0.8319624822624181,2.708359834314424,2.4412433807078746e-09,4.998681308601087e-09,-2.280420390331024e-10,7.667966728342064e-09,-1.6651959474938285e-10,7.606444284058343e-09,1.257556116165289e-09,6.182368573143672e-09,9.101211174703607e-10,6.5298035718386e-09,1.6204622167773657e-09,5.819462472531595e-09,1.56038744576755e-09,5.879537243541411e-09,2.514001179819118e-09,4.925923509489843e-09,2.8602148108724374e-09,4.5797098784365236e-09,3.7207138836614037e-09,3.7192108056475573e-09,3.7597146896839984e-09,3.6802099996249626e-09,3.624210618341698e-09,3.815714070967263e-09,3.1720734139717097e-09,4.267851275337251e-09,3.3817306579687473e-09,4.058194031340214e-09,4.373254227775088e-09,3.0666704615338734e-09
-0.38607572519891725,2.141824326345336,1.2363007329851563,-1.0725979018772342,-0.771142331802448,-0.026045152682687582,-0.02519418309303143,-2.4113168270282094e-09,2.1119444738848975e-09,-2.280420390331024e-10,7.133031411020963e-11,-1.6651959474938285e-10,1.3285275839392917e-10,7.975455662651155e-10,1.0969179194084275e-09,-1.924110654964951e-10,1.0696128764681692e-10,-1.0040966660252e-09,7.047243128818879e-10,2.8535238567727923e-10,5.847247388205912e-10,-6.419483287454659e-10,3.4257597560215386e-10,-9.340519085167604e-10,6.346795553734484e-10,-3.710192496992955e-10,7.164689655598348e-11,-3.2847637583571217e-10,2.9104022692400156e-11,6.035436216187407e-10,9.029159747620528e-10,-6.750675179821503e-10,3.756951648388383e-10,-7.810719364197369e-10,4.816995832764249e-10,-1.1000360963706084e-09,8.006637432272964e-10
2.098662378394853,-0.9393055340529352,0.5937027470957134,-1.6472055595596529,-0.45382632648949334,-0.14450310093094232,-0.46098749374025905,-1.5129249145938465e-09,2.0274851044253556e-11,-2.280420390331024e-10,1.3051577266049977e-09,-1.6651959474938285e-10,1.3666801708887173e-09,-1.2090852648531456e-09,3.241145007849545e-10,-3.035511325629411e-11,1.502844652381806e-09,-5.502170883527429e-10,9.829826772853572e-10,-2.6624114968557585e-09,1.1292117312176584e-09,-3.0041446260191318e-09,1.4709448603810317e-09,-2.192302749012708e-09,6.591029833746078e-10,-2.32762938571381e-09,7.944296200757099e-10,-1.8891157072758886e-09,3.559159416377885e-10,-1.3755987467258846e-09,1.5760101891221546e-10,-2.6235561163518432e-09,1.0903563507137432e-09,-2.6719553709719833e-09,1.1387556053338833e-09,-2.593599284551185e-09,1.0603995189130848e-09
0.24615861750082593,0.9221558985284568,-0.10267191751579599,1.5349337310510598,-0.3489625007499167,-0.3609775785439962,-0.45372376875607756,-1.2160321913338015e-09,2.966023595950686e-10,-2.280420390331024e-10,1.2845925118957677e-09,-1.6651959474938285e-10,1.3461149561794872e-09,-9.027443449385202e-10,6.098902059903499e-10,2.657919847144018e-10,1.7784265356432719e-09,-2.1552775636358406e-10,1.297106794565286e-09,-8.500775561216711e-11,1.427626795316703e-09,-4.979799013022088e-10,1.0146546496266614e-09,-3.8246070504319276e-10,1.1301738458856773e-09,-5.525871632729124e-10,9.600473876559577e-10,-2.1980029225483084e-10,1.2928342586740391e-09,-2.971983470052133e-10,1.2154362039236567e-09,-2.063123719368763e-09,5.50489168439893e-10,-2.0876664081127544e-09,5.750318571838843e-10,-1.793039703967116e-09,2.8040515303824594e-10
-0.39236492165931613,0.3333197101548073,0.22647192156484078,-1.6701360327586139,0.11921433067945211,0.15854331398425647,0.5658682786236221,1.0948014306756536e-10,1.2645762828577344e-09,-2.280420390331024e-10,1.602098464958402e-09,-1.6651959474938285e-10,1.5405760206746825e-09,8.122732007234403e-10,5.617832252018595e-10,-4.4493662566895014e-10,1.8189930515942499e-09,-2.6900507086828616e-10,1.643061496793586e-09,6.323830175972683e-11,1.310818124165573e-09,1.7896370890656236e-10,1.1950927170187374e-09,1.7297503913348544e-10,1.2010813867918143e-09,6.89904036485673e-10,6.841523894396268e-10,4.235557852187561e-10,9.505006407065437e-10,5.66896703843256e-10,8.071597220820437e-10,-2.735030267871151e-10,1.6475594527124148e-09,-2.3192426354756014e-10,1.60598068947286e-09,-7.112808164060754e-10,2.085337242331375e-09
-0.6015561623836216,2.3364455713990537,-0.9052709804401261,1.6447206077859067,1.4011918712229072,-1.3260952139756694,1.885381530357985,3.7390425826011375e-09,1.370848197279843e-09,-2.280420390331024e-10,5.337932818914083e-09,-1.6651959474938285e-10,5.276410374630364e-09,1.2535737954622836e-09,3.856316984418697e-09,1.586117549579951e-09,3.5237732303010295e-09,2.6125589200318027e-09,2.4973318598491778e-09,2.1733055328131887e-09,2.9365852470677918e-09,3.6096928444777462e-09,1.5001979354032343e-09,4.155088381604719e-09,9.548023982762615e-10,4.941943314261931e-09,1.6794746561904936e-10,5.178338814853235e-09,6.844803497225485e-11,4.277853623450647e-09,8.320371564303332e-10,4.167796405598566e-09,9.420943742824144e-10,4.469448273971927e-09,6.404425059090531e-10,5.755388983753869e-09,6.454982038728887e-10
-0.6064415826232993,0.7569776615208808,-0.13459113249543628,1.4184070934672437,-0.47018778839339953,-0.9047786126786681,0.5971616172588532,-1.559247838127361e-09,3.021902638771371e-09,-2.280420390331024e-10,1.6906968396771125e-09,-1.6651959474938285e-10,1.629174395393393e-09,1.2627339451317783e-09,1.9992085551223185e-10,1.009736951844952e-09,4.529178487990581e-10,2.246052524696388e-10,1.2380495481743714e-09,1.6545416018778365e-09,1.9188680123382639e-10,9.72136547255112e-10,4.905182533888981e-10,4.0619697168981356e-10,1.0564578289541965e-09,1.4028951510235108e-09,5.975964962049936e-11,1.8581365540079222e-09,3.9548175336391205e-10,1.6718294823600904e-09,2.0917468171608025e-10,2.307369482735849e-09,8.447146820918387e-10,2.2768300808511807e-09,8.141752802071705e-10,1.820072369354756e-09,3.574175687107459e-10
-0.5752777205669933,-1.0590524249898832,1.4169895364352452,0.22288345441359703,0.891304553019468,1.3636842851046669,1.043995063748189,2.295438619179773e-09,4.3230066447125686e-10,-2.280420390331024e-10,2.955781322684132e-09,-1.6651959474938285e-10,2.8942588784004125e-09,1.2034054742821225e-09,1.5243338093689072e-09,-2.093625215558283e-09,4.821364499209312e-09,-7.200482994984681e-10,3.4477875831494977e-09,-1.2101896475679672e-09,3.9379289312189965e-09,-1.0941368363472195e-10,2.8371529672857516e-09,5.499167265560145e-10,2.1778225570950154e-09,1.4561735130965507e-09,1.271565770554479e-09,1.279720354434695e-10,2.5997672482075604e-09,1.1769483696293825e-09,1.5507909140216472e-09,-1.7030118349620356e-10,2.8980404671472334e-09,-2.9147530066737403e-11,2.756886813717767e-09,1.1519527660243076e-09,1.575786517626722e-09
-0.6050024673893777,-1.011017601405612,-0.878759444482983,1.490015611441712,1.5022962058422624,-0.024536591449131007,1.1842629581287516,4.025291353584194e-09,9.004225845754644e-10,-2.280420390331024e-10,3.352910808041832e-09,-1.6651959474938285e-10,3.2913883637581126e-09,1.2600410225166965e-09,1.864827746492033e-09,-1.9447484703949732e-10,3.319343616048227e-09,1.3622279152580844e-09,1.7626408537506454e-09,5.561983629733244e-10,2.5686704060354056e-09,2.2296941632066086e-09,8.951746058021212e-10,3.0759741518096087e-09,4.8894617199121083e-11,3.928765140927551e-09,8.038963719188215e-10,3.3036674827829987e-09,1.7879871377426889e-10,2.4997224788271787e-09,6.251462901815511e-10,2.4438741070142577e-09,6.809946619944721e-10,2.727478468504195e-09,3.973903005045348e-10,4.530503819824278e-09,1.4056350508155486e-09
-0.5419585463253521,2.029919946335358,-0.20172513193083935,-0.009388224352894636,-0.17003313814330473,2.0086853418974426,-1.000040902749826,-7.094435239759213e-10,2.3499358699060892e-09,-2.280420390331024e-10,2.831337354848908e-09,-1.6651959474938285e-10,2.8928597991326277e-09,1.1376133196384553e-09,4.196992713520466e-09,-2.976016494490714e-09,8.33628993912965e-11,-2.497282353895504e-09,5.620970399865066e-10,-2.0551985841969254e-09,1.0041808096850851e-09,-2.115019053680702e-09,9.443603402013086e-10,-1.9472541232017966e-09,1.112125270680214e-09,-9.94151210823776e-10,2.0652281830582344e-09,-2.4473014442995866e-09,6.120779495824239e-10,-2.5079781295633926e-09,5.51401264318618e-10,-2.074357712549906e-09,9.850216813321045e-10,-2.132640083389426e-09,9.267393104925845e-10,-1.7384796553664728e-09,1.3208997385155377e-09
