gamma1,lambda1,delta,epsilon,NRow,NCol,FValue
0.002,0.05,100,1,1.04473985056992e-05,9.58697568917699e-06,3.72796481909398e-12
0.002,0.05,100,1,1.12758491361188e-05,1.41363738384347e-05,-1.11468624175923e-11
0.002,0.05,100,1,1.04473985056992e-05,2.03263887254272e-05,-3.65218742560335e-11
0.002,0.05,100,1,2.03263887254272e-05,4.08699448459176e-05,-8.29314444830749e-11
0.002,0.05,100,1,1.97220706985843e-05,2.24349012180896e-05,-1.02965876981718e-11
0.002,0.05,100,1,9.6485404963322e-06,4.73915794215672e-06,2.01790211052647e-11
0.002,0.05,100,1,3.67188106774009e-06,4.88311306983598e-06,-5.23483907262687e-12
0.002,0.05,100,1,2.30425812005948e-05,4.08699448459176e-05,-7.15703634415473e-11
0.002,0.05,100,1,1.97220706985843e-05,3.44074767537844e-05,-5.82939586735933e-11
0.002,0.05,100,1,7.33504126841897e-06,3.67188106774009e-06,1.5113906158832e-11
0.002,0.05,100,1,4.08699448459176e-05,1.12758491361188e-05,1.21839432434836e-10
0.002,0.05,100,1,1.075580669778e-05,2.30425812005948e-05,-5.20868148192265e-11
0.002,0.05,100,1,6.4729717351153e-06,2.78353092079861e-06,1.73005480375606e-11
0.002,0.05,100,1,8.20630136894018e-06,6.17337689752552e-06,9.62571472761088e-12
0.002,0.05,100,1,7.33504126841897e-06,2.12418592807451e-06,4.43887325440895e-11
0.002,0.05,100,1,3.67188106774009e-06,9.58697568917699e-06,-2.44631773921348e-11
0.002,0.05,100,1,3.67188106774009e-06,2.24349012180896e-05,-7.67289054480704e-11
0.002,0.05,100,1,1.41363738384347e-05,1.12758491361188e-05,1.19599717102346e-11
0.002,0.05,100,1,1.41363738384347e-05,1.97220706985843e-05,-2.25922295006109e-11
0.002,0.05,100,1,3.49831054895726e-05,2.6190970216668e-05,3.79265061045886e-11
0.002,0.05,100,1,1.94439313361514e-05,7.86026768781862e-06,4.79787419550048e-11
0.002,0.05,100,1,1.09908518782299e-05,1.56265552080234e-05,-1.87501013926998e-11
0.002,0.05,100,1,1.09908518782299e-05,1.30369648639712e-05,-7.68813090325236e-12
0.002,0.05,100,1,1.06741031835754e-05,6.58143650471135e-06,1.68516364128486e-11
0.002,0.05,100,1,1.56265552080234e-05,1.30369648639712e-05,1.09443867332826e-11
0.002,0.05,100,1,1.11165608648282e-05,2.29930236953815e-05,-4.902960695966e-11
0.002,0.05,100,1,1.09908518782299e-05,3.86626593234537e-06,2.89786605947398e-11
0.002,0.05,100,1,7.86026768781862e-06,3.25872242076333e-05,-1.01416750836511e-10
0.002,0.05,100,1,1.94439313361514e-05,2.6190970216668e-05,-2.70158452502098e-11
0.002,0.05,100,1,1.87598842886212e-05,3.49831054895726e-05,-6.45776562908392e-11
0.002,0.05,100,1,1.09908518782299e-05,5.14404324561039e-06,2.43135431663903e-11
0.002,0.05,100,1,7.84053177349695e-06,1.09908518782299e-05,-1.29040105084974e-11
0.002,0.05,100,1,2.6190970216668e-05,2.50956832945834e-05,5.76143565623182e-12
0.002,0.05,100,1,1.30369648639712e-05,2.6190970216668e-05,-5.38758866755048e-11
0.002,0.05,100,1,1.11165608648282e-05,1.09908518782299e-05,7.50800812452979e-13
0.002,0.05,100,1,1.06741031835754e-05,2.29930236953815e-05,-5.08903674612053e-11
0.002,0.05,100,1,2.29930236953815e-05,2.08193022491192e-05,9.83613045588207e-12
0.002,0.05,100,1,2.29930236953815e-05,2.50956832945834e-05,-7.6150416360951e-12
0.002,0.05,100,1,7.86026768781862e-06,2.29930236953815e-05,-6.2716915046766e-11
0.002,0.05,100,1,1.03988509994016e-05,8.63500972191104e-06,7.42202230627493e-12
0.002,0.05,100,1,1.03988509994016e-05,1.09908518782299e-05,-2.23578486941479e-12
0.002,0.05,100,1,7.86026768781862e-06,1.30369648639712e-05,-1.99180198533539e-11
0.002,0.05,100,1,1.19393106846892e-05,3.86626593234537e-06,3.28358566899939e-11
0.002,0.05,100,1,7.86026768781862e-06,1.03988509994016e-05,-1.04609274913126e-11
0.002,0.05,100,1,1.30369648639712e-05,7.84053177349695e-06,2.14721802619166e-11
0.002,0.05,100,1,1.22162209283323e-05,2.19720339366081e-05,-4.32899211379454e-11
0.002,0.05,100,1,1.09908518782299e-05,9.6110406452274e-06,5.88581540420644e-12
0.002,0.05,100,1,1.11165608648282e-05,2.19720339366081e-05,-4.49059171313111e-11
0.002,0.05,100,1,2.08193022491192e-05,1.03988509994016e-05,4.31908542153753e-11
0.002,0.05,100,1,1.80617949183265e-05,2.10723916204841e-05,-1.17748841027022e-11
0.002,0.05,100,1,3.43955374327604e-05,4.62975849910601e-06,1.22442812521428e-10
0.002,0.05,100,1,2.83289826159905e-05,9.04674110227462e-06,7.97849809582923e-11
0.002,0.05,100,1,2.83289826159905e-05,1.39284777240629e-05,5.95420848630443e-11
0.002,0.05,100,1,8.49928141092222e-06,1.02270572689856e-05,-6.90018809226722e-12
0.002,0.05,100,1,8.49928141092222e-06,2.10723916204841e-05,-5.18219020471967e-11
0.002,0.05,100,1,1.39284777240629e-05,1.55320710711427e-05,-6.0481581462682e-12
0.002,0.05,100,1,1.55320710711427e-05,1.18205581628797e-05,1.56766665603601e-11
0.002,0.05,100,1,1.82535425991502e-05,1.1881486667696e-05,2.6619961195204e-11
0.002,0.05,100,1,1.03763674724477e-05,8.22461596343052e-06,8.30510227195364e-12
0.002,0.05,100,1,1.55320710711427e-05,1.10607095894735e-05,1.90179811889524e-11
0.002,0.05,100,1,7.10699357664343e-06,5.35125209080893e-06,7.18164079762717e-12
0.002,0.05,100,1,2.34120169027796e-05,1.82535425991502e-05,2.20881414317146e-11
0.002,0.05,100,1,2.10723916204841e-05,1.55320710711427e-05,2.34988410364779e-11
0.002,0.05,100,1,2.83289826159905e-05,4.62975849910601e-06,9.74387677179059e-11
0.002,0.05,100,1,1.18486919944452e-05,2.83289826159905e-05,-6.76046517651541e-11
0.002,0.05,100,1,1.55320710711427e-05,1.03763674724477e-05,1.98098409989671e-11
0.002,0.05,100,1,3.43955374327604e-05,2.83289826159905e-05,2.67711943869505e-11
0.002,0.05,100,1,1.18205581628797e-05,1.02270572689856e-05,6.75765775849908e-12
0.002,0.05,100,1,9.46857541814582e-06,7.10699357664343e-06,9.830170511018e-12
0.002,0.05,100,1,1.55320710711427e-05,1.02270572689856e-05,2.20414389933865e-11
0.002,0.05,100,1,1.39284777240629e-05,1.56237544079214e-05,-6.53659773663311e-12
0.002,0.05,100,1,1.03763674724477e-05,1.10607095894735e-05,-2.56838466882678e-12
0.002,0.05,100,1,1.80617949183265e-05,2.34120169027796e-05,-2.18964495662596e-11
0.002,0.05,100,1,1.93919981201785e-05,2.03974405593077e-05,-3.43786552603228e-12
0.002,0.05,100,1,2.34120169027796e-05,2.83289826159905e-05,-1.91211556156637e-11
0.002,0.05,100,1,2.03974405593077e-05,1.93919981201785e-05,4.876684414158e-12
0.002,0.05,100,1,8.22461596343052e-06,7.10699357664343e-06,2.91076156605562e-12
0.002,0.05,100,1,1.82535425991502e-05,8.31961516937902e-06,4.05589733702966e-11
0.002,0.05,100,1,1.39284777240629e-05,1.03763674724477e-05,1.37019331805959e-11
